,organism,last_update
34,Archaeoglobus_veneficus,2023-06-22 12:42:00
35,Caldisphaera_lagunensis,2023-06-22 12:46:00
36,Caldivirga_maquilingensis,2023-06-22 12:38:00
37,Caldivirga_sp._MU80,2023-06-22 14:29:00
38,Candidatus_Acidianus_copahuensis,2023-06-22 13:24:00
39,Candidatus_Aciduliprofundum_boonei,2023-06-22 12:44:00
40,Candidatus_Aenigmarchaeota_archaeon_JGI_0000106-F11,2023-06-22 13:14:00
41,Candidatus_Aenigmarchaeota_archaeon_SCGC_AAA011-F07,2023-06-22 12:45:00
42,Candidatus_Aramenus_sulfurataquae,2023-06-22 13:24:00
43,Candidatus_Argoarchaeum_ethanivorans,2023-06-22 20:39:00
44,Candidatus_Bathyarchaeota_archaeon,2023-06-22 16:34:00
45,Candidatus_Caldarchaeum_subterraneum,2023-06-22 12:51:00
46,Candidatus_Geocrenenecus_sp._JGI_0000106-J15,2023-06-22 13:14:00
47,Candidatus_Halobonum_tyrrellensis,2023-06-22 12:54:00
48,Candidatus_Haloredivivus_sp._G17,2023-06-22 12:46:00
49,Candidatus_Iainarchaeum_andersonii,2023-06-22 12:46:00
50,Candidatus_Korarchaeum_cryptofilum,2023-06-22 16:48:00
51,Candidatus_Korarchaeum_sp.,2023-06-22 22:41:00
52,Candidatus_Mancarchaeum_acidiphilum,2023-06-22 15:16:00
53,Candidatus_Methanodesulfokores_washburnensis,2023-06-22 16:48:00
54,Candidatus_Methanoliparum_sp._LAM-1,2023-06-22 22:42:00
55,Candidatus_Methanolliviera_sp._GoM_asphalt,2023-06-22 17:55:00
56,Candidatus_Methanolliviera_sp._GoM_oil,2023-06-22 17:55:00
57,Candidatus_Methanomassiliicoccus_intestinalis,2023-06-22 18:00:00
58,Candidatus_Methanomethylophilus_alvus,2023-06-22 12:51:00
59,Candidatus_Methanomethylophilus_sp._1R26,2023-06-22 14:06:00
60,Candidatus_Methanoperedens_nitroreducens,2023-06-22 13:24:00
61,Candidatus_Methanoperedens_sp._BLZ2,2023-06-22 15:40:00
62,Candidatus_Methanoplasma_termitum,2023-06-22 13:24:00
63,Candidatus_Micrarchaeum_sp.,2023-06-22 20:44:00
64,Candidatus_Nanobsidianus_stetteri,2023-06-22 22:41:00
65,Candidatus_Nanohalobium_constans,2023-06-22 18:26:00
66,Candidatus_Nanopusillus_sp._Marseille-Q6268,2023-06-22 22:47:00
67,Candidatus_Nanosalina_sp._J07AB43,2023-06-22 12:44:00
68,Candidatus_Nanosalinarum_sp._J07AB56,2023-06-22 12:44:00
69,Candidatus_Nitrosarchaeum_limnium,2023-06-22 12:44:00
70,Candidatus_Nitrosocaldus_cavascurensis,2023-06-22 18:02:00
71,Candidatus_Nitrosocaldus_islandicus,2023-06-22 16:01:00
72,Candidatus_Nitrosocosmicus_arcticus,2023-06-22 17:56:00
73,Candidatus_Nitrosocosmicus_franklandus,2023-06-22 17:00:00
74,Candidatus_Nitrosocosmicus_hydrocola,2023-06-22 18:02:00
75,Candidatus_Nitrosocosmicus_oleophilus,2023-06-22 20:23:00
76,Candidatus_Nitrosocosmicus_sp._SS,2023-06-22 18:07:00
77,Candidatus_Nitrosomarinus_catalina,2023-06-22 15:11:00
78,Candidatus_Nitrosopelagicus_brevis,2023-06-22 13:24:00
79,Candidatus_Nitrosopumilus_koreensis,2023-06-22 12:51:00
80,Candidatus_Nitrosopumilus_salaria,2023-06-22 12:43:00
81,Candidatus_Nitrosopumilus_sediminis,2023-06-22 12:51:00
82,Candidatus_Nitrosopumilus_sp._SW,2023-06-22 17:41:00
83,Candidatus_Nitrososphaera_evergladensis,2023-06-22 18:02:00
84,Candidatus_Nitrososphaera_gargensis,2023-06-22 12:51:00
85,Candidatus_Nitrosotalea_bavarica,2023-06-22 15:57:00
86,Candidatus_Nitrosotalea_devanaterra,2023-06-22 18:02:00
87,Candidatus_Nitrosotalea_okcheonensis,2023-06-22 18:33:00
88,Candidatus_Nitrosotalea_sinensis,2023-06-22 15:56:00
89,Candidatus_Nitrosotalea_sp._FS,2023-06-22 19:02:00
90,Candidatus_Nitrosotalea_sp._TS,2023-06-22 19:03:00
91,Candidatus_Nitrosotenuis_aquarius,2023-06-22 15:53:00
92,Candidatus_Nitrosotenuis_chungbukensis,2023-06-22 13:14:00
93,Candidatus_Nitrosotenuis_cloacae,2023-06-22 13:24:00
94,Candidatus_Nitrosotenuis_sp._DW1,2023-06-22 19:33:00
95,Candidatus_Nitrosotenuis_uzonensis,2023-06-22 13:24:00
96,Candidatus_Parvarchaeum_acidiphilum,2023-06-22 12:44:00
97,Candidatus_Parvarchaeum_acidophilus,2023-06-22 12:44:00
98,Candidatus_Prometheoarchaeum_syntrophicum,2023-06-22 18:00:00
99,Candidatus_Syntrophoarchaeum_sp._GoM_oil,2023-06-22 17:55:00
100,Cenarchaeum_symbiosum,2023-06-22 12:44:00
101,Conexivisphaera_calida,2023-06-22 19:28:00
102,Crenarchaeota_archaeon_SCGC_AAA471-B05,2023-06-22 12:46:00
103,Crenarchaeota_archaeon_SCGC_AAA471-B23,2023-06-22 13:14:00
104,Crenarchaeota_archaeon_SCGC_AAA471-C03,2023-06-22 12:44:00
105,Crenarchaeota_archaeon_SCGC_AAA471-L13,2023-06-22 12:44:00
106,Crenarchaeota_archaeon_SCGC_AAA471-L14,2023-06-22 12:46:00
107,Crenarchaeota_archaeon_SCGC_AAA471-O08,2023-06-22 12:46:00
108,Cuniculiplasma_divulgatum,2023-06-22 14:55:00
109,Desulfurococcaceae_archaeon_AG1,2023-06-22 16:14:00
110,Desulfurococcus_amylolyticus,2023-06-22 12:32:00
111,Desulfurococcus_mucosus,2023-06-22 12:41:00
112,Euryarchaeota_archaeon_SCGC_AAA252-I15,2023-06-22 12:44:00
113,Euryarchaeota_archaeon_SCGC_AAA286-E23,2023-06-22 13:14:00
114,Euryarchaeota_archaeum_SCGC_AAA287-E17,2023-06-22 13:25:00
115,Euryarchaeota_archaeum_SCGC_AAA287-I03,2023-06-22 13:25:00
116,Euryarchaeota_archaeum_SCGC_AAA287-N16,2023-06-22 13:25:00
117,Ferroglobus_placidus,2023-06-22 12:41:00
118,Ferroplasma_acidarmanus,2023-06-22 12:37:00
119,Ferroplasma_acidiphilum,2023-06-22 15:03:00
120,Fervidicoccus_fontis,2023-06-22 12:42:00
121,Geoglobus_acetivorans,2023-06-22 13:24:00
122,Geoglobus_ahangari,2023-06-22 13:24:00
123,Haladaptatus_cibarius,2023-06-22 13:34:00
124,Haladaptatus_halobius,2023-06-22 22:38:00
125,Haladaptatus_litoreus,2023-06-22 14:53:00
126,Haladaptatus_pallidirubidus,2023-06-22 22:39:00
127,Haladaptatus_paucihalophilus,2023-06-22 14:47:00
128,Haladaptatus_salinisoli,2023-06-22 22:38:00
129,Haladaptatus_sp._AB618,2023-06-22 23:44:00
130,Haladaptatus_sp._AB643,2023-06-22 23:44:00
131,Haladaptatus_sp._DYF46,2023-06-22 22:46:00
132,Haladaptatus_sp._DYSN1,2023-06-23 01:28:00
133,Haladaptatus_sp._QDMS2,2023-06-23 01:24:00
134,Haladaptatus_sp._R4,2023-06-22 14:29:00
135,Haladaptatus_sp._T7,2023-06-23 00:25:00
136,Haladaptatus_sp._W1,2023-06-22 14:31:00
137,Haladaptatus_sp._YSMS36,2023-06-23 01:24:00
138,Haladaptatus_sp._ZJ1,2023-06-23 00:29:00
139,Halalkaliarchaeum_desulfuricum,2023-06-22 16:34:00
140,Halalkaliarchaeum_sp._AArc-CO,2023-06-23 00:03:00
141,Halalkalicoccus_jeotgali,2023-06-22 12:43:00
142,Halalkalicoccus_paucihalophilus,2023-06-22 14:29:00
143,Halalkalicoccus_sp._NIPERK01,2023-06-23 03:11:00
144,Halalkalicoccus_subterraneus,2023-06-22 16:37:00
145,Halalkalirubrum_salinum,2023-06-22 17:20:00
146,Halanaeroarchaeum_sp._HSR-CO,2023-06-23 00:03:00
147,Halanaeroarchaeum_sulfurireducens,2023-06-22 13:48:00
148,Halapricum_desulfuricans,2023-06-22 22:42:00
149,Halapricum_salinum,2023-06-22 13:34:00
150,Halapricum_sp._CBA1109,2023-06-22 18:32:00
151,Halarchaeum_acidiphilum,2023-06-22 12:51:00
152,Halarchaeum_grantii,2023-06-22 20:11:00
153,Halarchaeum_nitratireducens,2023-06-22 20:01:00
154,Halarchaeum_rubridurum,2023-06-22 20:01:00
155,Halarchaeum_salinum,2023-06-22 21:16:00
156,Halarchaeum_solikamskense,2023-06-22 21:12:00
157,Halarchaeum_sp._CBA1220,2023-06-22 19:31:00
158,Halegenticoccus_soli,2023-06-22 15:56:00
159,Halegenticoccus_tardaugens,2023-06-22 16:52:00
160,Haloarchaeobius_amylolyticus,2023-06-23 00:36:00
161,Haloarchaeobius_iranensis,2023-06-22 15:18:00
162,Haloarchaeobius_litoreus,2023-06-22 23:53:00
163,Haloarchaeobius_salinus,2023-06-22 23:52:00
164,Haloarchaeobius_sp._FL176,2023-06-22 23:55:00
165,Haloarchaeobius_sp._HME9146,2023-06-23 00:13:00
166,Haloarcula_amylolytica,2023-06-22 12:50:00
167,Haloarcula_argentinensis,2023-06-22 19:21:00
168,Haloarcula_californiae,2023-06-22 12:41:00
169,Haloarcula_hispanica,2023-06-22 18:13:00
170,Haloarcula_japonica,2023-06-22 12:50:00
171,Haloarcula_mannanilytica,2023-06-22 17:18:00
172,Haloarcula_marismortui,2023-06-22 12:35:00
173,Haloarcula_quadrata,2023-06-22 16:36:00
174,Haloarcula_rubripromontorii,2023-06-22 13:46:00
175,Haloarcula_salaria,2023-06-22 20:01:00
176,Haloarcula_salina,2023-06-22 18:43:00
177,Haloarcula_sebkhae,2023-06-22 20:01:00
178,Haloarcula_sinaiiensis,2023-06-22 21:18:00
179,Haloarcula_sp._Atlit-120R,2023-06-22 16:36:00
180,Haloarcula_sp._Atlit-47R,2023-06-22 16:36:00
181,Haloarcula_sp._Atlit-7R,2023-06-22 16:36:00
182,Haloarcula_sp._CBA1115,2023-06-22 13:34:00
183,Haloarcula_sp._CBA1122,2023-06-22 20:04:00
184,Haloarcula_sp._CBA1127,2023-06-22 14:07:00
185,Haloarcula_sp._CBA1128,2023-06-22 14:07:00
186,Haloarcula_sp._CBA1129,2023-06-22 18:13:00
187,Haloarcula_sp._CBA1130,2023-06-22 18:13:00
188,Haloarcula_sp._CBA1131,2023-06-22 18:13:00
189,Haloarcula_sp._JP-L23,2023-06-22 19:05:00
190,Haloarcula_sp._JP-Z28,2023-06-22 19:02:00
191,Haloarcula_sp._K1,2023-06-22 14:24:00
192,Haloarcula_sp._R1-2,2023-06-22 19:05:00
193,Haloarcula_taiwanensis,2023-06-22 15:56:00
194,Haloarcula_vallismortis,2023-06-22 14:50:00
195,Halobacteriaceae_archaeon_SHR40,2023-06-22 16:51:00
196,Halobacterium_bonnevillei,2023-06-22 18:35:00
197,Halobacterium_hubeiense,2023-06-22 14:07:00
198,Halobacterium_jilantaiense,2023-06-22 15:18:00
199,Halobacterium_litoreum,2023-06-22 22:49:00
200,Halobacterium_noricense,2023-06-22 22:49:00
201,Halobacterium_rubrum,2023-06-23 01:34:00
202,Halobacterium_salinarum,2023-06-22 17:09:00
203,Halobacterium_sp._BOL4-2,2023-06-22 22:47:00
204,Halobacterium_sp._CBA1126,2023-06-22 18:32:00
205,Halobacterium_sp._CBA1132,2023-06-22 14:07:00
206,Halobacterium_sp._DL1,2023-06-22 12:44:00
207,Halobacterium_sp._GSL-19,2023-06-22 20:46:00
208,Halobacterium_sp._KA-4,2023-06-22 22:45:00
209,Halobacterium_sp._KA-6,2023-06-22 22:45:00
210,Halobacterium_sp._NRC-34001,2023-06-22 22:39:00
211,Halobacterium_sp._R2-5,2023-06-22 19:05:00
212,Halobacterium_sp._TGN-42-S1,2023-06-22 23:01:00
213,Halobacterium_wangiae,2023-06-22 22:49:00
214,Halobacterium_zhouii,2023-06-22 22:49:00
215,Halobaculum_gomorrense,2023-06-22 14:48:00
216,Halobaculum_halophilum,2023-06-22 19:32:00
217,Halobaculum_magnesiiphilum,2023-06-22 22:14:00
218,Halobaculum_roseum,2023-06-22 22:15:00
219,Halobaculum_rubrum,2023-06-22 22:15:00
220,Halobaculum_salinum,2023-06-22 19:32:00
221,Halobaculum_saliterrae,2023-06-22 18:35:00
222,Halobaculum_sp._CBA1158,2023-06-22 22:52:00
223,Halobaculum_sp._DT31,2023-06-23 01:41:00
224,Halobaculum_sp._DT55,2023-06-23 01:24:00
225,Halobaculum_sp._DT92,2023-06-23 01:41:00
226,Halobaculum_sp._SYNS20,2023-06-23 01:41:00
227,Halobaculum_sp._YSMS11,2023-06-23 01:28:00
228,Halobellus_captivus,2023-06-22 17:56:00
229,Halobellus_clavatus,2023-06-22 15:18:00
230,Halobellus_inordinatus,2023-06-22 23:52:00
231,Halobellus_limi,2023-06-22 16:02:00
232,Halobellus_litoreus,2023-06-22 23:52:00
233,Halobellus_ramosii,2023-06-22 23:53:00
234,Halobellus_rarus,2023-06-22 23:53:00
235,Halobellus_ruber,2023-06-22 19:52:00
236,Halobellus_rufus,2023-06-22 13:34:00
237,Halobellus_salinus,2023-06-22 20:01:00
238,Halobellus_sp._Atlit-31R,2023-06-22 16:36:00
239,Halobellus_sp._Atlit-38R,2023-06-22 16:36:00
240,Halobiforma_haloterrestris,2023-06-22 15:18:00
241,Halobiforma_lacisalsi,2023-06-22 14:54:00
242,Halobiforma_nitratireducens,2023-06-22 12:50:00
243,Halobium_salinum,2023-06-23 00:36:00
244,Halocalculus_aciditolerans,2023-06-22 20:01:00
245,Halocatena_marina,2023-06-23 00:22:00
246,Halocatena_pleomorpha,2023-06-22 16:47:00
247,Halocatena_salina,2023-06-22 23:22:00
248,Halococcoides_cellulosivorans,2023-06-22 16:12:00
249,Halococcus_agarilyticus,2023-06-22 13:34:00
250,Halococcus_dombrowskii,2023-06-22 23:19:00
251,Halococcus_hamelinensis,2023-06-22 12:48:00
252,Halococcus_morrhuae,2023-06-22 12:44:00
253,Halococcus_qingdaonensis,2023-06-22 23:53:00
254,Halococcus_saccharolyticus,2023-06-22 12:50:00
255,Halococcus_salifodinae,2023-06-22 12:50:00
256,Halococcus_salsus,2023-06-22 18:35:00
257,Halococcus_sediminicola,2023-06-22 13:34:00
258,Halococcus_sp._IIIV-5B,2023-06-22 16:35:00
259,Halococcus_sp._PRR34,2023-06-23 01:15:00
260,Halococcus_thailandensis,2023-06-22 12:50:00
261,Halodesulfurarchaeum_formicicum,2023-06-22 14:45:00
262,Haloferacaceae_archaeon_KCTC_4243,2023-06-22 17:58:00
263,Haloferax_alexandrinus,2023-06-22 18:54:00
264,Haloferax_denitrificans,2023-06-22 12:41:00
265,Haloferax_elongans,2023-06-22 12:51:00
266,Haloferax_gibbonsii,2023-06-22 13:41:00
267,Haloferax_larsenii,2023-06-22 23:57:00
268,Haloferax_litoreum,2023-06-22 18:30:00
269,Haloferax_lucentense,2023-06-23 01:23:00
270,Haloferax_marinisediminis,2023-06-22 18:30:00
271,Haloferax_marinum,2023-06-22 18:30:00
272,Haloferax_marisrubri,2023-06-22 16:01:00
273,Haloferax_massiliensis,2023-06-22 15:18:00
274,Haloferax_mediterranei,2023-06-22 17:18:00
275,Haloferax_mucosum,2023-06-22 12:41:00
276,Haloferax_prahovense,2023-06-22 13:34:00
277,Haloferax_profundi,2023-06-22 14:06:00
278,Haloferax_sp._AB510,2023-06-22 23:44:00
279,Haloferax_sp._AS1,2023-06-22 19:59:00
280,Haloferax_sp._ATB1,2023-06-22 13:14:00
281,Haloferax_sp._ATCC_BAA-644,2023-06-22 12:50:00
282,Haloferax_sp._ATCC_BAA-645,2023-06-22 12:50:00
283,Haloferax_sp._ATCC_BAA-646,2023-06-22 12:50:00
284,Haloferax_sp._Atlit-105R,2023-06-22 16:36:00
285,Haloferax_sp._Atlit-109R,2023-06-22 16:36:00
286,Haloferax_sp._Atlit-10N,2023-06-22 16:34:00
287,Haloferax_sp._Atlit-12N,2023-06-22 16:26:00
288,Haloferax_sp._Atlit-16N,2023-06-22 16:26:00
289,Haloferax_sp._Atlit-19N,2023-06-22 16:26:00
290,Haloferax_sp._Atlit-24N,2023-06-22 16:26:00
291,Haloferax_sp._Atlit-47N,2023-06-22 16:26:00
292,Haloferax_sp._Atlit-48N,2023-06-22 16:26:00
293,Haloferax_sp._Atlit-4N,2023-06-22 16:26:00
294,Haloferax_sp._Atlit-6N,2023-06-22 16:26:00
295,Haloferax_sp._BAB-2207,2023-06-22 12:53:00
296,Haloferax_sp._CBA1148,2023-06-22 18:13:00
297,Haloferax_sp._CBA1149,2023-06-22 18:13:00
298,Haloferax_sp._CBA1150,2023-06-22 18:13:00
299,Haloferax_sp._KTX1,2023-06-22 18:01:00
300,Haloferax_sp._Q22,2023-06-22 14:06:00
301,Haloferax_sulfurifontis,2023-06-22 20:01:00
302,Haloferax_volcanii,2023-06-22 12:31:00
303,Halogeometricum_borinquense,2023-06-22 12:43:00
304,Halogeometricum_limi,2023-06-22 15:18:00
305,Halogeometricum_pallidum,2023-06-22 12:50:00
306,Halogeometricum_rufum,2023-06-22 15:18:00
307,Halogeometricum_sp._CBA1124,2023-06-22 20:04:00
308,Haloglomus_irregulare,2023-06-22 17:55:00
309,Haloglomus_sp._DT116,2023-06-23 01:24:00
310,Haloglomus_sp._ZY41,2023-06-22 23:49:00
311,Haloglomus_sp._ZY58,2023-06-22 23:49:00
312,Halogranum_amylolyticum,2023-06-22 15:18:00
313,Halogranum_gelatinilyticum,2023-06-22 15:18:00
314,Halogranum_rubrum,2023-06-22 15:18:00
315,Halogranum_salarium,2023-06-22 12:50:00
316,Halohasta_litchfieldiae,2023-06-22 15:53:00
317,Halohasta_litorea,2023-06-22 23:53:00
318,Halohasta_sp._GSL13,2023-06-22 23:45:00
319,Halolamina_litorea,2023-06-23 00:36:00
320,Halolamina_pelagica,2023-06-22 14:50:00
321,Halolamina_rubra,2023-06-22 13:34:00
322,Halolamina_salifodinae,2023-06-22 21:05:00
323,Halolamina_sediminis,2023-06-22 13:46:00
324,Halolamina_sp._CBA1230,2023-06-22 19:30:00
325,Halolamina_sp._R1-12,2023-06-22 19:04:00
326,Halomarina_oriensis,2023-06-22 18:33:00
327,Halomarina_rubra,2023-06-22 23:34:00
328,Halomarina_salina,2023-06-22 23:21:00
329,Halomarina_sp._BCD28,2023-06-22 23:47:00
330,Halomarina_sp._BND7,2023-06-22 23:47:00
331,Halomarina_sp._PSR21,2023-06-23 01:24:00
332,Halomicroarcula_amylolytica,2023-06-22 17:03:00
333,Halomicroarcula_laminariae,2023-06-23 00:14:00
334,Halomicroarcula_limicola,2023-06-22 18:43:00
335,Halomicroarcula_marina,2023-06-22 23:47:00
336,Halomicroarcula_nitratireducens,2023-06-22 22:08:00
337,Halomicroarcula_pellucida,2023-06-22 22:08:00
338,Halomicroarcula_rubra,2023-06-22 22:08:00
339,Halomicroarcula_salinisoli,2023-06-22 22:08:00
340,Halomicroarcula_sp._DFY41,2023-06-23 01:24:00
341,Halomicroarcula_sp._FL173,2023-06-23 01:28:00
342,Halomicroarcula_sp._GDY20,2023-06-23 01:24:00
343,Halomicroarcula_sp._SHR3,2023-06-23 01:24:00
344,Halomicroarcula_sp._SYNS111,2023-06-23 01:24:00
345,Halomicroarcula_sp._XH51,2023-06-23 01:25:00
346,Halomicroarcula_sp._YJ-61-S,2023-06-23 01:41:00
347,Halomicroarcula_sp._ZS-22-S1,2023-06-23 01:24:00
348,Halomicrobium_katesii,2023-06-22 12:46:00
349,Halomicrobium_mukohataei,2023-06-22 12:32:00
350,Halomicrobium_salinisoli,2023-06-22 22:31:00
351,Halomicrobium_sp._IBSBa,2023-06-22 20:59:00
352,Halomicrobium_sp._LC1Hm,2023-06-22 18:26:00
353,Halomicrobium_sp._ZPS1,2023-06-22 18:20:00
354,Halomicrobium_zhouii,2023-06-22 15:18:00
355,Halonotius_aquaticus,2023-06-22 16:35:00
356,Halonotius_pteroides,2023-06-22 16:35:00
357,Halonotius_roseus,2023-06-22 17:43:00
358,Halonotius_sp._J07HN4,2023-06-22 12:46:00
359,Halonotius_sp._J07HN6,2023-06-22 12:51:00
360,Halonotius_terrestris,2023-06-22 17:45:00
361,Haloparvum_sedimenti,2023-06-22 14:05:00
362,Halopelagius_inordinatus,2023-06-22 15:19:00
363,Halopelagius_longus,2023-06-22 15:19:00
364,Halopenitus_malekzadehii,2023-06-22 15:19:00
365,Halopenitus_persicus,2023-06-22 15:30:00
366,Halopenitus_sp._POP-27,2023-06-23 01:34:00
367,Halopiger_aswanensis,2023-06-22 16:35:00
368,Halopiger_djelfimassiliensis,2023-06-22 13:34:00
369,Halopiger_goleimassiliensis,2023-06-22 13:34:00
370,Halopiger_xanaduensis,2023-06-22 12:43:00
371,Haloplanus_aerogenes,2023-06-22 16:46:00
372,Haloplanus_natans,2023-06-22 13:34:00
373,Haloplanus_rallus,2023-06-22 18:33:00
374,Haloplanus_ruber,2023-06-22 23:53:00
375,Haloplanus_rubicundus,2023-06-22 16:23:00
376,Haloplanus_salinarum,2023-06-22 23:55:00
377,Haloplanus_salinus,2023-06-22 16:23:00
378,Haloplanus_sp._GDY1,2023-06-22 23:35:00
379,Haloplanus_sp._HW8-1,2023-06-22 23:35:00
380,Haloplanus_sp._XH21,2023-06-22 23:26:00
381,Haloplanus_vescus,2023-06-22 15:19:00
382,Haloprofundus_halobius,2023-06-22 22:23:00
383,Haloprofundus_halophilus,2023-06-22 16:29:00
384,Haloprofundus_marisrubri,2023-06-22 14:06:00
385,Haloprofundus_salilacus,2023-06-22 22:23:00
386,Haloprofundus_salinisoli,2023-06-22 22:23:00
387,Haloprofundus_sp._MHR1,2023-06-22 17:14:00
388,Haloquadratum_sp._J07HQX50,2023-06-22 12:51:00
389,Haloquadratum_walsbyi,2023-06-22 12:44:00
390,Halorhabdus_amylolytica,2023-06-22 17:12:00
391,Halorhabdus_rudnickae,2023-06-22 17:04:00
392,Halorhabdus_salina,2023-06-22 19:48:00
393,Halorhabdus_sp._BNX81,2023-06-23 01:23:00
394,Halorhabdus_sp._CBA1104,2023-06-22 18:30:00
395,Halorhabdus_sp._CUG00001,2023-06-22 18:34:00
396,Halorhabdus_sp._SVX81,2023-06-23 01:23:00
397,Halorhabdus_tiamatea,2023-06-22 12:51:00
398,Halorhabdus_utahensis,2023-06-22 12:40:00
399,Halorientalis_brevis,2023-06-22 23:21:00
400,Halorientalis_litorea,2023-06-22 23:21:00
401,Halorientalis_marina,2023-06-22 23:21:00
402,Halorientalis_pallida,2023-06-22 16:52:00
403,Halorientalis_persicus,2023-06-22 15:19:00
404,Halorientalis_regularis,2023-06-22 15:19:00
405,Halorientalis_salina,2023-06-22 17:12:00
406,Halorientalis_sp._IM1011,2023-06-22 14:55:00
407,Halorubellus_salinus,2023-06-22 22:37:00
408,Halorubellus_sp._JP-L1,2023-06-22 19:02:00
409,Halorubraceae_archaeon_YAN,2023-06-22 19:28:00
410,Halorubrum_aethiopicum,2023-06-22 14:29:00
411,Halorubrum_aidingense,2023-06-22 12:51:00
412,Halorubrum_alkaliphilum,2023-06-22 21:05:00
413,Halorubrum_amylolyticum,2023-06-22 16:52:00
414,Halorubrum_aquaticum,2023-06-22 18:06:00
415,Halorubrum_arcis,2023-06-22 12:51:00
416,Halorubrum_californiense,2023-06-22 12:50:00
417,Halorubrum_cibi,2023-06-22 17:45:00
418,Halorubrum_coriense,2023-06-22 12:50:00
419,Halorubrum_depositum,2023-06-22 17:56:00
420,Halorubrum_distributum,2023-06-22 12:50:00
421,Halorubrum_ezzemoulense,2023-06-22 16:53:00
422,Halorubrum_halodurans,2023-06-22 15:22:00
423,Halorubrum_halophilum,2023-06-22 13:34:00
424,Halorubrum_hochstenium,2023-06-22 12:50:00
425,Halorubrum_kocurii,2023-06-22 12:51:00
426,Halorubrum_lacusprofundi,2023-06-22 12:31:00
427,Halorubrum_laminariae,2023-06-22 23:53:00
428,Halorubrum_lipolyticum,2023-06-22 12:37:00
429,Halorubrum_litoreum,2023-06-22 12:50:00
430,Halorubrum_persicum,2023-06-22 15:49:00
431,Halorubrum_ruber,2023-06-22 21:18:00
432,Halorubrum_rubrum,2023-06-22 23:53:00
433,Halorubrum_rutilum,2023-06-22 23:53:00
434,Halorubrum_saccharovorum,2023-06-22 12:31:00
435,Halorubrum_salinarum,2023-06-22 19:27:00
436,Halorubrum_salinum,2023-06-22 23:53:00
437,Halorubrum_salipaludis,2023-06-22 15:24:00
438,Halorubrum_salsamenti,2023-06-22 17:56:00
439,Halorubrum_sodomense,2023-06-22 15:19:00
440,Halorubrum_sp._1-13-28,2023-06-22 23:34:00
441,Halorubrum_sp._2020YC2,2023-06-22 21:28:00
442,Halorubrum_sp._48-1-W,2023-06-22 16:21:00
443,Halorubrum_sp._AJ67,2023-06-22 13:24:00
444,Halorubrum_sp._ARQ200,2023-06-22 17:18:00
445,Halorubrum_sp._ASP1,2023-06-22 17:18:00
446,Halorubrum_sp._ASP121,2023-06-22 17:18:00
447,Halorubrum_sp._Atlit-26R,2023-06-22 16:36:00
448,Halorubrum_sp._Atlit-28R,2023-06-22 16:36:00
449,Halorubrum_sp._Atlit-8R,2023-06-22 16:36:00
450,Halorubrum_sp._Atlit-9R,2023-06-22 16:36:00
451,Halorubrum_sp._BOL3-1,2023-06-22 16:52:00
452,Halorubrum_sp._BV1,2023-06-22 13:34:00
453,Halorubrum_sp._Boch-26,2023-06-23 01:34:00
454,Halorubrum_sp._C191,2023-06-22 15:49:00
